recipe,default_portion,default_portion_in_grams,Calcium_(MG)_total,Carbohydrates_(G)_total,Iron_(MG)_total,Lipid_(G)_total,Magnesium_(MG)_total,Protein_(G)_total,Sodium_(MG)_total,Vitamin_A_(UG)_total,Vitamin_C_(MG)_total,Vitamin_D_(UG)_total,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G
Soft cheese,1 cracker-size slice,9.0,76.41,0.3897,0.0351,2.8134,2.52,1.863,86.76,26.46,0.0,0.27,849.0,4.33,0.39,31.26,28.0,20.7,964.0,294.0,0.0,3.0
Ham,1 thick slice,90.0,7.2,1.4220000000000002,0.7559999999999999,3.483,18.0,17.136,1034.1,11.7,0.0,0.6299999999999999,8.0,1.58,0.84,3.87,20.0,19.04,1149.0,13.0,0.0,0.7
Hard cheese,recipe_1_person,80.75,30.99,4.018475,0.815825,18.49645,38.735,13.31725,423.475,42.23,0.23875,0.3874999999999999,38.37770897832817,4.976439628482972,1.0103095975232197,22.90582043343653,47.969040247678016,16.49195046439629,524.4272445820434,52.29721362229103,0.2956656346749226,0.479876160990712
Bread,recipe_1_person,152.25,276.15,65.30272500000001,4.546325,5.4297,41.2425,12.909725,651.1475,38.205,1.0425,0.0,181.3793103448276,42.89177339901478,2.9860919540229887,3.566305418719212,27.088669950738915,8.479293924466337,427.6830870279146,25.0935960591133,0.6847290640394089,0.0
Cottage cheese,recipe_1_person,147.525,154.6,6.5726725,0.0379125,15.923212500000002,14.65875,4.6144375,107.97625,135.01125,1.16525,1.30025,104.79579732248772,4.455294017963056,0.0256990340620233,10.793568886629384,9.936451448906965,3.127902050499915,73.1918318928995,91.51753940010168,0.7898661243856974,0.8813760379596679
Bread,recipe_1_person,400.5,163.45,116.233725,9.510075,75.085025,81.0375,26.274075,1511.235,52.64,0.0427499999999999,1.05375,40.81148564294632,29.02215355805244,2.3745505617977534,18.747821473158552,20.234082397003743,6.560318352059925,377.3370786516854,13.143570536828964,0.0106741573033707,0.2631086142322097
Fruit salad,recipe_1_person,365.925,284.81925,63.8167375,3.6545875,17.32482,62.1535,8.6828025,603.89175,484.89025,44.8417,0.0625,77.83541709366675,17.43984081437453,0.9987258317961332,4.7345275671244105,16.985311197649796,2.372836646853864,165.03156384505024,132.51082872173262,12.254341736694675,0.0170800027328004
Pancakes,recipe_1_person,84.375,25.83125,0.8855124999999999,0.29835,57.59135,3.28,2.0782625,22.31,31.545,0.01525,0.487125,30.61481481481481,1.049496296296296,0.3536,68.25641481481482,3.887407407407408,2.463125925925926,26.44148148148148,37.38666666666666,0.018074074074074,0.5773333333333334
Salmon,1 cup,135.0,14.85,0.0,1.1475,5.832000000000001,24.3,24.678,907.2,35.1,0.0,23.085,11.0,0.0,0.85,4.32,18.0,18.28,672.0,26.0,0.0,17.1
Avocado,1 fruit,150.0,18.0,12.795,0.825,21.99,43.5,3.0,10.5,10.5,15.0,0.0,12.0,8.53,0.55,14.66,29.0,2.0,7.0,7.0,10.0,0.0
Spring onion / scallion,Quantity not specified,15.0,2.55,1.269,0.036,0.012,1.35,0.129,0.15,0.0,1.2299999999999998,0.0,17.0,8.46,0.24,0.08,9.0,0.86,1.0,0.0,8.2,0.0
Ristretto,1 espresso cup (2 fl oz),60.0,1.2,1.0019999999999998,0.078,0.1079999999999999,48.0,0.072,8.4,0.0,0.12,0.0,2.0,1.67,0.13,0.18,80.0,0.12,14.0,0.0,0.2,0.0
Chips,recipe_1_person,48.5,8.4425,6.9216500000000005,0.335825,3.5594,9.5125,2.2296500000000004,100.06,29.815,3.97525,0.31625,17.40721649484536,14.271443298969071,0.6924226804123712,7.338969072164949,19.61340206185567,4.5972164948453615,206.30927835051543,61.47422680412371,8.19639175257732,0.652061855670103
Pasta,recipe_1_person,46.25,21.3375,1.261875,0.44575,1.83825,4.8625,2.271875,82.275,85.5,1.44375,0.33875,46.13513513513514,2.728378378378378,0.9637837837837838,3.974594594594595,10.513513513513514,4.912162162162162,177.8918918918919,184.86486486486487,3.121621621621621,0.7324324324324324
Tomato sauce,recipe_1_person,151.45,12.7625,60.50780999999999,0.409815,12.876635,15.466,1.10193,230.75,3.27,1.81575,0.0,8.426873555628921,39.95233410366457,0.2705942555298778,8.502235061076263,10.211951138989766,0.7275866622647739,152.36051502145924,2.159128425222846,1.1989105315285575,0.0
Pear,1 slice/chunk,25.0,2.25,3.795,0.045,0.0375,1.75,0.0925,0.75,0.25,1.075,0.0,9.0,15.18,0.18,0.15,7.0,0.37,3.0,1.0,4.3,0.0
Cashew nut,1 package,50.0,22.0,15.7,2.885,23.74,125.0,7.35,199.5,0.0,0.0,0.0,44.0,31.4,5.77,47.48,250.0,14.7,399.0,0.0,0.0,0.0
Almonds,1 100 calorie package,18.0,48.24,3.7818,0.6714,9.4572,50.22,3.7728,0.54,0.0,0.0,0.0,268.0,21.01,3.73,52.54,279.0,20.96,3.0,0.0,0.0,0.0
Lentils,recipe_1_person,503.25,85.0175,59.836175,5.193675,26.778125,63.95,14.009325,900.3725000000001,112.2175,73.268,0.178,16.893691008445106,11.889950322901145,1.0320268256333829,5.321038251366121,12.707401887729755,2.783770491803279,178.9115747640338,22.298559364133133,14.558966716343765,0.0353700943864878
Mixed vegetables,recipe_1_person,469.9,292.353,49.50696,2.12522,71.225285,58.259,14.974975,1399.3675,730.716,11.429,0.84025,62.21600340497979,10.535637369653118,0.4522706958927431,15.157540966163015,12.398169823366674,3.186842945307512,297.80112789955314,155.50457544158334,2.4322196211959994,0.1788146414130666
Cucumber,Quantity not specified,60.0,9.6,1.77,0.0,0.1079999999999999,6.0,0.372,1.2,3.0,1.68,0.0,16.0,2.95,0.0,0.18,10.0,0.62,2.0,5.0,2.8,0.0
Cocoa powder,Quantity not specified,5.0,6.4,2.895,0.693,0.685,24.95,0.98,1.05,0.0,0.0,0.0,128.0,57.9,13.86,13.7,499.0,19.6,21.0,0.0,0.0,0.0
Greek Yaourt,recipe_1_person,354.5,191.7575,74.09710000000001,2.0168,17.582425,57.12,10.379125,221.46,110.8125,51.60625,0.575,54.09238363892807,20.90186177715092,0.5689139633286319,4.959781382228491,16.11283497884344,2.927820874471086,62.471086036671366,31.258815232722142,14.55747531734838,0.1622002820874471
Maple syrup (Concentrate),recipe_1_person,221.95,26.7875,6.784384999999999,0.25894,50.87250999999999,10.8885,1.1827299999999998,412.4625,467.285,0.1709999999999999,0.238,12.069159720657806,3.0567177292182923,0.1166659157467898,22.920707366523995,4.905834647443117,0.5328812795674701,185.8357738229331,210.5361567920703,0.0770443793647217,0.1072313584140572
Buckwheat,recipe_1_person,301.5,55.625,21.90745,1.14345,58.66555,42.145,14.24275,687.5174999999999,536.9350000000001,54.402750000000005,0.91,18.449419568822552,7.266152570480928,0.3792537313432835,19.45789386401327,13.97844112769486,4.72396351575456,228.03233830845767,178.08789386401327,18.044029850746263,0.3018242122719735
Chicken,recipe_1_person,868.325,127.16775,79.6436775,6.966702499999999,141.25144,131.6295,39.5201225,1042.667,233.34525,145.90575,0.8192499999999999,14.645178936458125,9.172104626723865,0.8023150893962514,16.267116575015116,15.159013042351654,4.551305386807934,120.07796619929174,26.87303141105001,16.803126709469378,0.0943483142832464
Broccoli,1 floweret,10.0,4.6,0.627,0.0689999999999999,0.034,2.1,0.257,3.6,0.8,9.13,0.0,46.0,6.27,0.69,0.34,21.0,2.57,36.0,8.0,91.3,0.0
Mayonnaise,recipe_1_person,74.0,49.905,6.312225,1.1374,14.529975,7.012499999999999,5.814925,137.9075,169.10250000000002,1.7887499999999998,1.76625,67.4391891891892,8.530033783783784,1.5370270270270272,19.635101351351352,9.47635135135135,7.858006756756756,186.36148648648648,228.5168918918919,2.41722972972973,2.386824324324324
Green bean,1 cup,90.0,11.7,5.346,0.8190000000000001,0.162,18.9,2.736,5.4,0.9,11.88,0.0,13.0,5.94,0.91,0.18,21.0,3.04,6.0,1.0,13.2,0.0
Sausage,"1 oz, cooked",28.35,2.5515,0.40257,0.3402,7.725375,4.5360000000000005,5.253255,230.769,7.938000000000001,0.0,0.3969,9.0,1.42,1.2,27.25,16.0,18.53,814.0,28.0,0.0,1.4
(bread,Quantity not specified,155.0,155.0,30.132,3.286,24.2575,27.9,18.755,686.65,116.25,0.0,1.86,100.0,19.44,2.12,15.65,18.0,12.1,443.0,75.0,0.0,1.2
Tart,Quantity not specified,125.0,27.5,53.25,1.525,20.125000000000004,12.5,3.75,416.25,6.25,1.625,0.0,22.0,42.6,1.22,16.1,10.0,3.0,333.0,5.0,1.3,0.0
