recipe,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,Carbohydrates_(G)_total,Protein_(G)_total,Lipid_(G)_total,Calcium_(MG)_total,Iron_(MG)_total,Magnesium_(MG)_total,Sodium_(MG)_total,Vitamin_C_(MG)_total,Vitamin_D_(UG)_total,Vitamin_A_(UG)_total
Abalone,Quantity not specified,85.0,39.0,7.46,3.97,6.12,60.0,21.24,574.0,2.0,2.0,0.0,6.341,18.054,5.202000000000001,33.15,3.3745,51.0,487.9,1.7,0.0,1.7
"Adobo, with noodles",Quantity not specified,224.0,15.0,8.14,0.99,7.66,18.0,16.89,510.0,4.0,0.0,0.3,18.233600000000003,37.833600000000004,17.1584,33.6,2.2176,40.32,1142.4,0.0,0.672,8.96
"Adobo, with rice",1 cup,244.0,18.0,8.86,1.34,7.94,21.0,17.69,522.0,4.0,0.0,0.4,21.618399999999998,43.1636,19.3736,43.92,3.2696000000000005,51.24,1273.68,0.0,0.9760000000000001,9.76
Agave liquid sweetener,Quantity not specified,20.0,1.0,76.37,0.09,0.45,1.0,0.09,4.0,8.0,17.0,0.0,15.274000000000001,0.018,0.09,0.2,0.018,0.2,0.8,3.4,0.0,1.6
Alcoholic coffee drink,Quantity not specified,240.0,5.0,2.1,0.02,2.38,2.0,0.21,3.0,22.0,0.0,0.1,5.04,0.504,5.712,12.0,0.048,4.8,7.2,0.0,0.24,52.8
Alcoholic malt beverage,1 fl oz,30.0,8.0,0.27,0.03,0.0,12.0,0.9,4.0,0.0,0.0,0.0,0.08100000000000002,0.27,0.0,2.4,0.009,3.6,1.2,0.0,0.0,0.0
"Alcoholic malt beverage, sweetened",Quantity not specified,360.0,4.0,10.07,0.03,0.0,4.0,0.0,5.0,0.0,2.8,0.0,36.252,0.0,0.0,14.4,0.10799999999999998,14.4,18.0,10.079999999999998,0.0,0.0
"Alfalfa sprouts, raw",Quantity not specified,17.0,32.0,2.1,0.96,0.69,27.0,3.99,6.0,8.0,8.2,0.0,0.35700000000000004,0.6783,0.11729999999999999,5.44,0.1632,4.59,1.02,1.3939999999999997,0.0,1.36
Alfredo sauce,1 cup,260.0,66.0,1.77,0.02,15.0,4.0,2.12,552.0,137.0,0.2,0.5,4.602,5.5120000000000005,39.0,171.6,0.052000000000000005,10.4,1435.2,0.52,1.3,356.2
Alfredo sauce with added vegetables,Quantity not specified,65.0,53.0,2.65,0.11,11.54,7.0,2.07,423.0,113.0,10.7,0.4,1.7225,1.3455,7.5009999999999994,34.45,0.07150000000000001,4.55,274.95,6.955,0.26,73.45
Alfredo sauce with meat,Quantity not specified,65.0,58.0,1.44,0.48,15.34,7.0,6.52,520.0,111.0,0.1,0.4,0.9359999999999999,4.2379999999999995,9.971,37.7,0.312,4.55,338.0,0.065,0.26,72.15
Alfredo sauce with meat and added vegetables,Quantity not specified,65.0,48.0,2.15,0.55,12.53,9.0,6.47,415.0,93.0,8.7,0.3,1.3975,4.2055,8.144499999999999,31.2,0.3575,5.85,269.75,5.655,0.195,60.45
Alfredo sauce with poultry,1 cup,260.0,58.0,1.44,0.21,13.6,8.0,6.87,518.0,114.0,0.1,0.4,3.7439999999999998,17.862000000000002,35.36,150.8,0.546,20.8,1346.8,0.26,1.04,296.4
Alfredo sauce with poultry and added vegetables,1 cup,260.0,47.0,2.15,0.28,10.79,11.0,6.83,413.0,95.0,8.7,0.3,5.59,17.758,28.053999999999995,122.2,0.7280000000000001,28.6,1073.8,22.62,0.78,247.0
Alfredo sauce with seafood,Quantity not specified,65.0,73.0,1.99,0.47,12.46,10.0,5.91,541.0,125.0,0.5,0.4,1.2934999999999999,3.8415000000000004,8.099,47.45,0.3055,6.5,351.65,0.325,0.26,81.25
Alfredo sauce with seafood and added vegetables,Quantity not specified,65.0,63.0,2.7,0.54,9.66,12.0,5.87,436.0,106.0,9.0,0.3,1.755,3.8155,6.279,40.95,0.35100000000000003,7.8,283.4,5.85,0.195,68.9
Almond butter,1 tablespoon,16.0,263.0,21.11,4.08,52.72,266.0,20.67,232.0,0.0,0.0,0.0,3.3775999999999997,3.3072000000000004,8.4352,42.08,0.6528,42.56,37.12,0.0,0.0,0.0
"Almond butter and jelly sandwich, on wheat bread",1 sandwich,112.0,163.0,42.86,2.89,17.2,107.0,12.04,307.0,0.0,0.2,0.0,48.0032,13.4848,19.264,182.56,3.2368,119.84,343.84,0.22400000000000003,0.0,0.0
"Almond butter and jelly sandwich, on white bread",1 sandwich (1 slice bread),56.0,189.0,44.88,3.0,16.99,92.0,10.98,313.0,0.0,0.2,0.0,25.132800000000003,6.1488,9.5144,105.84,1.68,51.52,175.28,0.11200000000000002,0.0,0.0
"Almond butter sandwich, on wheat bread",1 sandwich,92.0,197.0,36.97,3.48,20.93,130.0,14.62,368.0,0.0,0.1,0.0,34.0124,13.4504,19.2556,181.24,3.2016000000000004,119.6,338.56,0.09200000000000001,0.0,0.0
"Almond butter sandwich, on white bread",1 sandwich,92.0,229.0,39.43,3.61,20.68,110.0,13.34,374.0,0.0,0.0,0.0,36.2756,12.2728,19.0256,210.68,3.3212,101.2,344.08,0.0,0.0,0.0
"Almond butter, lower sodium",1 tablespoon,16.0,264.0,21.24,4.11,53.04,268.0,20.79,1.0,0.0,0.0,0.0,3.3983999999999996,3.3264,8.4864,42.24,0.6576000000000001,42.88,0.16,0.0,0.0,0.0
Almond chicken,1/2 chicken breast with sauce,128.0,36.0,4.46,0.82,13.16,37.0,15.66,330.0,19.0,11.8,0.0,5.7088,20.0448,16.8448,46.08,1.0495999999999999,47.36,422.4,15.104000000000001,0.0,24.32
"Almond milk, NFS",Guideline amount per fl oz of beverage,2.5,171.0,1.53,0.29,1.21,7.0,0.54,59.0,41.0,0.0,0.9,0.03825,0.013500000000000002,0.03025,4.275,0.0072499999999999995,0.175,1.475,0.0,0.0225,1.025
"Almond milk, chocolate",1 cup,244.0,161.0,7.44,0.31,1.2,8.0,0.57,56.0,38.0,0.0,0.8,18.1536,1.3907999999999998,2.928,392.84,0.7564,19.52,136.64,0.0,1.9520000000000002,92.72
"Almond milk, sweetened",1 cup,244.0,166.0,4.31,0.28,1.18,7.0,0.53,58.0,39.0,0.0,0.9,10.516399999999999,1.2932,2.8791999999999995,405.04,0.6832,17.08,141.52,0.0,2.1959999999999997,95.16
"Almond milk, unsweetened",Guideline amount per cup of hot cereal,61.0,173.0,0.34,0.29,1.22,7.0,0.55,60.0,41.0,0.0,0.9,0.20740000000000003,0.3355,0.7442,105.53,0.17689999999999997,4.27,36.6,0.0,0.5489999999999999,25.01
Almond oil,1 tablespoon,14.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Almond paste,"1 cup, well packed",227.0,172.0,47.81,1.6,27.74,130.0,9.0,9.0,0.0,0.1,0.0,108.52870000000001,20.43,62.96979999999999,390.44,3.6320000000000006,295.1,20.43,0.22700000000000004,0.0,0.0
"Almonds, NFS",1 100 calorie package,18.0,268.0,21.01,3.73,52.54,279.0,20.96,3.0,0.0,0.0,0.0,3.7818,3.7728,9.4572,48.24,0.6714,50.22,0.54,0.0,0.0,0.0
"Almonds, chocolate covered candy",Quantity not specified,55.0,221.0,44.04,2.9,38.81,149.0,12.97,49.0,35.0,0.0,0.0,24.221999999999998,7.133500000000001,21.3455,121.55,1.595,81.95,26.95,0.0,0.0,19.25
"Almonds, flavored",Quantity not specified,28.0,257.0,20.12,3.58,53.27,267.0,20.07,500.0,0.0,0.0,0.0,5.6336,5.6196,14.915600000000001,71.96,1.0024000000000002,74.76,140.0,0.0,0.0,0.0
"Almonds, honey roasted",1 100 calorie package,18.0,181.0,35.84,2.54,45.34,188.0,14.11,385.0,0.0,0.0,0.0,6.451200000000001,2.5398,8.161200000000001,32.58,0.4572,33.84,69.3,0.0,0.0,0.0
"Almonds, lightly salted",1 package,50.0,259.0,20.28,3.6,53.7,269.0,20.23,195.0,0.0,0.0,0.0,10.14,10.115,26.85,129.5,1.8,134.5,97.5,0.0,0.0,0.0
"Almonds, salted",1 package,50.0,258.0,20.18,3.59,53.43,268.0,20.13,386.0,0.0,0.0,0.0,10.09,10.065,26.715,129.0,1.795,134.0,193.0,0.0,0.0,0.0
